Program Name,Link,Description,tags
7Zip,https://www.7-zip.org/a/7z2201-x64.exe,,
Acrobat,,,
Acrobat,,,
After Effects,,,
Aftereffects,,,
Aiimag.Es,,,
Anki,https://objects.githubusercontent.com/github-production-release-asset-2e65be/7270538/df28c5de-10e6-4f1d-8daf-c59ae4c49be7?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A%2F20230422%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20230422T022313Z&X-Amz-Expires=300&X-Amz-Signature=d247cbe64fd49b4fdec2d9470d70f8cd86f452ecdeda205fa3c715d4fec6b8b1&X-Amz-SignedHeaders=host&actor_id=103482683&key_id=0&repo_id=7270538&response-content-disposition=attachment%3B%20filename%3Danki-2.1.61-windows-qt6.exe&response-content-type=application%2Foctet-stream,,
Anti MicroX,,,
Anydesk,https://anydesk.com/en/downloads/windows?dv=win_exe,,
Assetforge,,,
Assetstudio,https://github.com/Perfare/AssetStudio/releases/download/v0.16.47/AssetStudio.net6.v0.16.47.zip,,
Atom,https://files02.tchspt.com/temp/AtomSetup-x64.exe,,
Audacity,https://github.com/audacity/audacity/releases/download/Audacity-3.2.5/audacity-win-3.2.5-x64.exe,,
Autorigpro,,,
Autoruns,https://download.sysinternals.com/files/Autoruns.zip,,
Battlenet,https://www.battle.net/download/getInstallerForGame?os=win&gameProgram=BATTLENET_APP&version=Live&id=undefined,,
Bforartists,,,
Bitwarden,https://vault.bitwarden.com/download/?app=desktop&platform=windows,,
Bleachbit,https://www.bleachbit.org/download/windows,,
Blender,https://www.blender.org/download/release/Blender3.5/blender-3.5.0-windows-x64.msi/,,
Bluestacks,https://cdn3.bluestacks.com/downloads/windows/bgp64/4.280.4.4002/c0e5b72daaec1a9e063fa25504c24753/BlueStacksMicroInstaller_4.280.4.4002_native.exe?filename=BlueStacksMicroInstaller_4.280.4.4002_native_d243d1c03106c1c6936c953256c00646.exe,,
Boxcutter,,,
BSG Launcher,,,
Bulk Crap Uninstaller,https://www.fosshub.com/Bulk-Crap-Uninstaller.html?dwl=BCUninstaller_5.5_setup.exe,,
Cascadeur,,,
CC3,,,
CC4,,,
Ccleaner,,,
Cheat Engine,https://d1vdn3r1396bak.cloudfront.net/installer/387515997539/0144116,,
Clip Champ,,,
Couchdb,https://couchdbneighbourhoodie.fra1.digitaloceanspaces.com/downloads/3.3.1/win/apache-couchdb-3.3.1.msi,,
Crosshairx,,,
Dbeaver,https://dbeaver.io/files/dbeaver-ce-latest-x86_64-setup.exe,,
Discord,https://dl.discordapp.net/distro/app/stable/win/x86/1.0.9012/DiscordSetup.exe,,
Discordraiderpro,,,
Dnspy,,,
Dolbyaccess,,,
Draw.Io,,,
Dual Monitor Tools,https://versaweb.dl.sourceforge.net/project/dualmonitortool/dualmonitortool/2.9/DualMonitorTools-2.9.msi,,
Dzsalauncher,https://dayzsalauncher.com/releases/setup_dzsalauncher.exe,,
Electron Fiddle,https://github.com/electron/fiddle/releases/download/v0.32.4/electron-fiddle-0.32.4-win32-x64-setup.exe,,
Epic Games,https://launcher-public-service-prod06.ol.epicgames.com/launcher/api/installer/download/EpicGamesLauncherInstaller.msi,,
Faceit,https://faceit-client.faceit-cdn.net/release/FACEIT-setup-latest.exe,,
Fan Control,,,
Fbmessenger,,,
Firefox,https://download-installer.cdn.mozilla.net/pub/firefox/releases/112.0.1/win32/en-CA/Firefox%20Installer.exe,,
Fivem,https://runtime.fivem.net/client/FiveM.exe,,
Flowframes,,,
Free Mind,,,
Gifski,https://github.com/ImageOptim/gifski/releases/download/1.10.0/gifski_1.10.0_x64_en-US.msi,,
Gimp,https://download.gimp.org/gimp/v2.10/windows/gimp-2.10.34-setup.exe,,
Git,https://github.com/git-for-windows/git/releases/download/v2.40.0.windows.1/Git-2.40.0-64-bit.exe,,
Github Desktop,https://central.github.com/deployments/desktop/desktop/latest/win32,,
Glasswire,https://download.glasswire.com/GlassWireSetup.exe,,
Glorious Mouse Software,https://downloads.gloriousgamingservices.com/download/GloriousCore.zip,,
Google Drive,https://dl.google.com/drive-file-stream/GoogleDriveSetup.exe,,
GPTapp,https://github.com/lencx/ChatGPT/releases/download/v0.12.0/ChatGPT_0.12.0_windows_x86_64.msi,,
Handbrake,https://handbrake.fr/rotation.php?file=HandBrake-1.6.1-x86_64-Win_GUI.zip,,
Hardops,,,
Headshot For Cc,,,
Iclone8,,,
Ida Class Informer,,,
Ida Pro,,,
Ida String Associate,,,
Incredibuild,,,
Invokeai,,,
ISLC,https://www.wagnardsoft.com/ISLC/ISLC%20v1.0.2.8.exe,,
Jdownloader,,,
Joplin,,,
Joy2Key,https://joytokey.net/download/JoyToKey_en.zip,,
Keepass,https://sourceforge.net/projects/keepass/files/KeePass%202.x/2.53.1/KeePass-2.53.1.zip/download,,
Kenneyshape,,,
Krita,https://download.kde.org/stable/krita/5.1.5/krita-x64-5.1.5-setup.exe,,
Libreoffice,https://www.libreoffice.org/donate/dl/win-x86_64/7.5.2/en-US/LibreOffice_7.5.2_Win_x86-64.msi,,
Lightshot,https://app.prntscr.com/build/setup-lightshot.exe,,
Little Registry Cleaner,,,
Lossless Cut,https://github.com/mifi/lossless-cut/releases/download/v3.54.0/LosslessCut-win-x64.7z,,
Makehuman,http://download.tuxfamily.org/makehuman/releases/makehuman-community-1.2.0-windows.zip,,
Marmoset Toolbag,,,
Maya,,,
Medal,,,
Mediawiki,,,
MemTest64,https://us6-dl.techpowerup.com/files/HRJwxKZMYVbCSMsqt8AGpQ/1682210628/MemTest64.exe,,
Meshroom,https://gsf-fl.softonic.com/b27/3e7/4d2d06229a4d35b8ba1a7b2ce3c2a66ec0/Meshroom-2021.1.0-win64.zip?Expires=1682209742&Signature=8fe7c47e9b448fa1b9d14cc7865b68b3f30ed763&url=https://meshroom.en.softonic.com&Filename=Meshroom-2021.1.0-win64.zip,,
Microsoft Todo,,,
Mindomo,,,
Msi After Burner,,,
Newgrounds Player,,,
NodeJS,https://nodejs.org/dist/v18.16.0/node-v18.16.0-x64.msi,,
Nohboard,,,
Notepad++,https://github.com/notepad-plus-plus/notepad-plus-plus/releases/download/v8.5.2/npp.8.5.2.Installer.x64.exe,,
NpCap,https://npcap.com/dist/npcap-1.74.exe,,
Nvidia Profile Inspector,https://github.com/Orbmu2k/nvidiaProfileInspector/releases/download/2.4.0.4/nvidiaProfileInspector.zip,,
Obs,https://cdn-fastly.obsproject.com/downloads/OBS-Studio-29.0.2-Full-Installer-x64.exe,,
OCCT,https://dl.ocbase.com/per/stable/OCCT.exe,,
Operagx,,,
Optimizer,https://github.com/hellzerg/optimizer/releases/download/15.0/Optimizer-15.0.exe,,
Orange3,https://download.biolab.si/download/files/Orange3-3.34.0-Miniconda-x86_64.exe,,
Origin,https://origin-a.akamaihd.net/EA-Desktop-Client-Download/installer-releases/EAappInstaller.exe,,
Paint.Net,https://github.com/paintdotnet/release/releases/download/v5.0.3/paint.net.5.0.3.install.anycpu.web.zip,,
Photoshop,,,
Picocad,,,
Playnite,https://playnite.link/download/PlayniteInstaller.exe,,
Premiere Pro,,,
Process Explorer,https://download.sysinternals.com/files/ProcessExplorer.zip,,
Process Monitor,https://download.sysinternals.com/files/ProcessMonitor.zip,,
Project Lasso,https://dl.bitsum.com/files/processlassosetup64.exe,,
Python3,https://www.python.org/ftp/python/3.11.3/python-3.11.3-amd64.exe,,
Qbittorrent,https://www.fosshub.com/qBittorrent.html?dwl=qbittorrent_4.5.2_x64_setup.exe,,
Raylib,https://github.com/raysan5/raylib/releases/download/4.5.0/raylib_installer_v4.5.mingw.64bit.exe,,
Red Eclipse,https://github.com/redeclipse/base/releases/download/v2.0.0/redeclipse_2.0.0_win.exe,,
RegCool,https://kurtzimmermann.com/files/RegCool.exe,,
Resharper,,,
Rivatuner,,,
Search,https://www.voidtools.com/Everything-1.4.1.1022.x86.Lite-Setup.exe,,
Sharp Mono Injector,,,
Space Sniffer,https://www.fosshub.com/SpaceSniffer.html?dwl=spacesniffer_1_3_0_2.zip,,
Spt Aki,,,
Sqlite Compare,,,
